Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
ITALIA GRILL,"Estação Carlos Prates Av. Olegário Maciel, 1669",Minas Gerais,Belo Horizonte,Brasil,30180-111,1071,3.9,4.3,3.6,4.2,3.5,#68 de 18306 restaurantes em Belo Horizonte,facebook.com,@italiagrillbh,+55 31 99134-5888,"Italiana, Internacional",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-22:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Alho e Sal Restaurante,"Estação Central (Metrô de Belo Horizonte) Av. Amazonas, 68 A",Minas Gerais,Belo Horizonte,Brasil,30180-001,358,4.3,4.2,4.0,5.0,4.0,#70 de 18306 restaurantes em Belo Horizonte,Sem Informação,@alhoesalrest,+55 31 3224-2108,"Brasileira, Sul Americana",Seg: 11:30-15:00; Ter: 11:30-15:00; Qua: 11:30-15:00; Qui: 11:30-15:00; Sex: 11:30-15:00; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Libertas,"Estação Vila Oeste Av. Amazonas, 050 7702",Minas Gerais,Belo Horizonte,Brasil,30510-000,37,4.7,4.6,Sem Avaliação,5.0,4.5,#72 de 18306 restaurantes em Belo Horizonte,facebook.com,@libertasrestaurante,+55 31 3307-5800,"Brasileira, Sul Americana",Seg: 12:00-14:30 18:30-22:00; Ter: 12:00-14:30 19:00-22:00; Qua: 12:00-14:30 18:30-22:00; Qui: 12:00-14:30 18:30-22:00; Sex: 12:00-14:30 18:30-22:00; Sáb: 12:00-14:30 18:30-22:00; Dom: 12:00-14:30 18:00-22:00,54.00 À 140.00,97,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Italiano Maurizio Gallo,"Estação Carlos Prates R. dos Aimorés, 2305",Minas Gerais,Belo Horizonte,Brasil,30140-072,2345,3.8,4.4,3.6,4.0,4.5,#73 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurantemauriziogallo,+55 31 2514-3020,"Italiana, Opções vegetarianas",Seg: 11:00-17:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-17:00,71.00 À 100.00,85.5,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Restaurante Ninita,"Estação Central (Metrô de Belo Horizonte) R. Bárbara Heliodora, 71",Minas Gerais,Belo Horizonte,Brasil,30180-130,1194,4.4,4.6,4.5,Sem Avaliação,4.0,#74 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3292-4237,Italiana,Seg: 18:00-22:00; Ter: 12:00-17:00 18:00-23:00; Qua: 12:00-17:00 18:00-23:00; Qui: 12:00-17:00 18:00-23:00; Sex: 12:00-17:00 18:00-23:00; Sáb: 12:00-17:00 18:00-23:00; Dom: 12:00-17:00,280.00,280,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
Restaurante do Ano,"Rua Levindo Lopes, 158",Minas Gerais,Belo Horizonte,Brasil,30140-170,745,3.5,4.2,3.6,Sem Avaliação,3.5,#75 de 18306 restaurantes em Belo Horizonte,restaurante2010.blogspot.com,@restaurante_do_ano,+55 31 3327-6766,"Brasileira, Sul Americana, Contemporânea, Opções vegetarianas",Seg: 12:00-16:00; Ter: 12:00-16:00; Qua: 12:00-16:00; Qui: 12:00-16:00; Sex: 12:00-16:00; Sáb: 12:00-16:00; Dom: 12:00-16:00,72.00 À 100.00,86,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Fratelli D'Italia (Pelusinho),"Estação Santa Efigênia Av. Bernardo Monteiro, 999 A",Minas Gerais,Belo Horizonte,Brasil,30150-281,302,4.5,4.6,3.7,5.0,4.5,#76 de 18306 restaurantes em Belo Horizonte,Sem Informação,@fratelliditalia.ristorante,+55 31 3241-5227,"Italiana, Opções vegetarianas",Seg: 10:30-15:00; Ter: 10:30-15:00; Qua: 10:30-15:00; Qui: 10:30-15:00; Sex: 10:30-15:00; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Chen Chang Kee Noodle House - Galeria BH,"Estação Lagoinha R. Curitiba, 130",Minas Gerais,Belo Horizonte,Brasil,30170-120,950,4.7,4.7,4.2,5.0,5.0,#77 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 97534-7710,"Chinês, Noodles",Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:00; Dom: Fechado,55.00,55,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Amadís Fleming Restaurante e Bar,"Av. Fleming, 480",Minas Gerais,Belo Horizonte,Brasil,31310-490,3650,4.0,4.5,3.8,3.9,4.0,#78 de 18306 restaurantes em Belo Horizonte,facebook.com,@amadisbar,+55 31 3309-3773,Bar de Coquetéis,Seg: Fechado; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-22:00,170.00,170,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Ah! Bon,"R. Fernandes Tourinho, 805",Minas Gerais,Belo Horizonte,Brasil,30112-000,536,3.8,4.3,3.5,Sem Avaliação,4.0,#79 de 18306 restaurantes em Belo Horizonte,ahbon.com.br,@specialitrattoria,+55 31 3281-6260,"Francesa, Italiana, Bar de Vinhos, Opções vegetarianas",Seg: 12:00-23:00; Ter: 12:00-23:00; Qua: 12:00-23:00; Qui: 12:00-23:00; Sex: 12:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-23:00,140.00 À 280.00,210,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Mineiros Beer,"Rua Romualdo Lopes Cançado, 399",Minas Gerais,Belo Horizonte,Brasil,30840-460,3123,3.6,4.4,3.4,3.7,3.0,#80 de 18306 restaurantes em Belo Horizonte,facebook.com,@mineirosbeer,+55 31 98415-5175,Brasileira,Seg: 11:00-15:00; Ter: 11:00-15:00 18:00-00:00; Qua: 11:00-15:00 18:00-00:00; Qui: 11:00-15:00 18:00-00:00; Sex: 11:00-15:00 18:00-00:00; Sáb: 11:00-15:00 18:00-00:00; Dom: 11:00-15:00,54.00 À 140.00,97,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante e Pizzaria Tia Penha,"Estação José Cândido da Silveira Av. Contagem, 1.76 Santa Inês",Minas Gerais,Belo Horizonte,Brasil,000,9355,4.0,4.5,3.6,4.0,4.0,#81 de 18306 restaurantes em Belo Horizonte,pizzariatiapenha.com.br,@pizzariatiapenha,+55 31 3485-2083,Pizza,Seg: 11:00-15:00 18:00-23:00; Ter: 11:00-15:00 18:00-23:00; Qua: 11:00-15:00 18:00-23:00; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-23:00,54.00 À 140.00,97,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Tia Zarica,"Estação Central (Metrô de Belo Horizonte) R. Pouso Alegre, 919",Minas Gerais,Belo Horizonte,Brasil,31015-215,1456,4.0,4.5,3.2,4.5,4.0,#11 de 3071 cafeterias em Belo Horizonte,tiazarica.com.br,@tiazarica,+55 31 3444-5173,"Brasileira, Europeia, Sul Americana, Opções vegetarianas",Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-14:30; Qui: 11:00-14:30; Sex: 11:00-14:30; Sáb: 11:00-14:30; Dom: 11:00-14:30,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Verdinho Restaurante,"Av. Cônsul Antônio Cadar, 122",Minas Gerais,Belo Horizonte,Brasil,30360-000,3359,4.0,4.4,4.2,4.2,4.0,#83 de 18306 restaurantes em Belo Horizonte,Sem Informação,@verdinhobh,+55 31 3293-4047,"Japonesa, Brasileira, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:30; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-22:30,55.00 À 140.00,97.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Kinoko Restaurante,"R. José Rodrigues Pereira, 1274",Minas Gerais,Belo Horizonte,Brasil,30455-640,1525,3.4,4.3,2.5,Sem Avaliação,3.5,#84 de 18306 restaurantes em Belo Horizonte,Sem Informação,@kinokorestaurante,+55 31 2535-2550,"Japonesa, Chinês, Sushi",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 12:00-14:30 18:00-23:00; Sáb: 12:00-14:30 18:00-23:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Inka Peruano e Japonês,"Rua Guaicuí, 533 Luxemburgo",Minas Gerais,Belo Horizonte,Brasil,30380-342,1627,4.2,4.4,4.0,4.3,4.0,#85 de 18306 restaurantes em Belo Horizonte,facebook.com,@inkaperuano,+55 31 3293-1461,"Japonesa, Peruana, Sushi, Frutos do mar",Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-01:00; Sex: 18:00-01:00; Sáb: 12:00-00:00; Dom: 12:00-00:00,72.00 À 100.00,86,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Dragon Center,"R. Fernandes Tourinho, 455",Minas Gerais,Belo Horizonte,Brasil,30112-000,2648,4.0,4.5,Sem Avaliação,4.6,4.0,#87 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3287-3688,Chinês,Seg: Fechado; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00 18:30-22:30; Sáb: 11:00-16:00 18:30-22:30; Dom: 11:00-17:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Bar & Restaurante Pompéu,"R. São Miguel, 779",Minas Gerais,Belo Horizonte,Brasil,31710-750,7945,4.1,4.5,4.0,3.8,4.0,#89 de 18306 restaurantes em Belo Horizonte,facebook.com,@barpompeu,+55 31 3443-5760,"Brasileira, Sul Americana, Grelhada",Seg: 11:00-01:00; Ter: 11:00-01:00; Qua: 11:00-01:00; Qui: 11:00-01:00; Sex: 11:00-01:00; Sáb: 11:00-01:00; Dom: 11:00-00:00,54.00 À 140.00,97,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
"Restaurante E Pizzaria Guarujá - Belo Horizonte, MG","Estação Calafate Av. Amazonas, 4688 - Nova Suíssa",Minas Gerais,Belo Horizonte,Brasil,30480-000,1019,4.2,4.4,3.6,4.7,4.0,#92 de 18306 restaurantes em Belo Horizonte,vitrinevirtual.net,@restaurantepizzariaguaruja,+55 31 97182-2767,Pizza,Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-00:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Ochi Sushi - Restaurante Japonês,"Av. Fleming 900 Dentro da Vila Rica - Ao lado do Shopping Fleming, Belo Horizonte",Brasil,Minas Gerais,31310-490,Sem Informação,645,4.1,4.3,3.7,4.3,4.0,#95 de 18306 restaurantes em Belo Horizonte,facebook.com,@ochisushi,+55 31 2526-9950,"Japonesa, Sushi",Seg: Fechado; Ter: 19:00-22:00; Qua: 19:00-22:00; Qui: 19:00-22:00; Sex: 19:00-23:00; Sáb: 12:00-16:30 19:00-23:00; Dom: 12:00-17:00,140.00 À 280.00,210,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante do Divino,"Estação Central (Metrô de Belo Horizonte) R. Itajubá, 323",Minas Gerais,Belo Horizonte,Brasil,30150-380,964,4.5,4.7,4.0,5.0,4.5,#96 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurantedodivino,+55 31 3444-5066,Brasileira,Seg: 11:00-15:30; Ter: 11:00-15:30; Qua: 11:00-15:30; Qui: 11:00-15:30; Sex: 11:00-15:30; Sáb: 11:00-15:30; Dom: Fechado,54.00,54,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
RESTAURANTE TILAPIA GRILL,"R. Antônio de Albuquerque, n° 51",Minas Gerais,Belo Horizonte,Brasil,30112-010,327,4.8,4.5,Sem Avaliação,Sem Avaliação,5.0,#97 de 18306 restaurantes em Belo Horizonte,Sem Informação,@tilapiagrill6,+55 31 3016-8262,"Brasileira, Sul Americana, Churrasco, Frutos do mar",Seg: 11:00-00:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-18:00,130.00 À 670.00,400,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Japones Belo Horizonte Sushi Gami,"R. do Arvoredo, 185",Minas Gerais,Belo Horizonte,Brasil,31555-080,1339,4.3,4.1,Sem Avaliação,4.3,4.5,#98 de 18306 restaurantes em Belo Horizonte,Sem Informação,@sushigami806,+55 31 3318-0833,"Sushi, Japonesa",Seg: 18:30-23:30; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,54.00 À 140.00,97,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Tradição de Minas,"Estação Gameleira R. Monte Líbano, 121",Minas Gerais,Belo Horizonte,Brasil,30730-450,7837,3.9,4.4,4.0,3.9,4.0,#99 de 18306 restaurantes em Belo Horizonte,tradicaodeminas.com.br,@tradicaodeminas1996,+55 31 3411-2324,"Brasileira, Grelhada, Opções vegetarianas",Seg: 11:00-15:00; Ter: 11:00-15:00 17:30-00:00; Qua: 11:00-15:00 17:30-00:00; Qui: 11:00-15:00 17:30-00:00; Sex: 11:00-15:00 17:30-00:00; Sáb: 11:00-00:00; Dom: 11:00-22:30,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
A Granel,"Av. Do Contorno, 6061 - Lj 136 Piso 1 São Pedro",Minas Gerais,Belo Horizonte,Brasil,30110-930,1355,4.1,4.4,3.5,4.5,4.0,#21 de 3071 cafeterias em Belo Horizonte,agranel.com.br,@meupatiosavassi,+55 31 3288-3875,"Brasileira, Opções vegetarianas",Seg: 11:00-21:30; Ter: 11:00-21:30; Qua: 11:00-21:30; Qui: 11:00-21:30; Sex: 11:00-21:30; Sáb: 11:00-21:30; Dom: 11:00-21:30,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Wanted Hamburgueria Artesanal - Luxemburgo,"Rua Guaicuí, 297 - Loja 10",Minas Gerais,Belo Horizonte,Brasil,30380-380,278,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#205 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3658-7115,Fast Food,Seg: Fechado; Ter: 18:00-23:30; Qua: 18:00-23:30; Qui: 18:00-23:30; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-23:30,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Comidaria Guerra,"Estação Lagoinha Av. Olegário Maciel, 742 - 3 Andar Lj3230",Minas Gerais,Belo Horizonte,Brasil,30180-916,237,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#206 de 18306 restaurantes em Belo Horizonte,Sem Informação,@comidariaguerra,+55 31 99787-3087,Não especificado,Seg: Fechado; Ter: 10:00-22:00; Qua: 10:00-22:00; Qui: 10:00-00:00; Sex: 10:00-00:00; Sáb: 10:00-00:00; Dom: 10:00-18:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Comidas Fit e Low carb- Fit Point Gourmet Mangabeiras- - EVS Herbalife BH,"Av. dos Bandeirantes, 1839",Minas Gerais,Belo Horizonte,Brasil,30310-333,92,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#209 de 18306 restaurantes em Belo Horizonte,fitpointgourmet.com.br,@fitpointgourmet_mangabeiras,+55 31 98726-4430,Não especificado,Seg: 08:00-18:00; Ter: 08:00-18:00; Qua: 08:00-18:00; Qui: 08:00-18:00; Sex: 08:00-18:00; Sáb: 09:00-13:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Casa Do Peixe,"R. das Perpétuas, 124",Minas Gerais,Belo Horizonte,Brasil,30690-270,637,4.7,4.6,Sem Avaliação,4.8,Sem Avaliação,#210 de 18306 restaurantes em Belo Horizonte,contate.me,@casadopeixelindeia,+55 31 3387-9175,Frutos do mar,Seg: Fechado; Ter: 18:00-22:30; Qua: 18:00-22:30; Qui: 18:00-22:30; Sex: 18:00-22:30; Sáb: 18:00-22:30; Dom: 18:00-22:30,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Sabor & Tal Kit Festa e Salgados ZAP 31975802020 entrega RÁPIDA,"Estação Vila Oeste Rua João Pires 245 bairro Jardinópolis, Belo Horizonte",Brasil,Minas Gerais,30512-600,Sem Informação,1154,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#212 de 18306 restaurantes em Belo Horizonte,Sem Informação,@sabor.e.tal,+55 31 97580-2020,Não especificado,Seg: 11:00-21:00; Ter: 11:00-21:00; Qua: 11:00-21:00; Qui: 11:00-21:00; Sex: 11:00-21:00; Sáb: 11:00-21:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Nino,"R. Curitiba, 2090",Minas Gerais,Belo Horizonte,Brasil,30170-127,938,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#215 de 18306 restaurantes em Belo Horizonte,alifenino.com.br,@alifenino,+55 11 3368-6863,"Italiana, Opções vegetarianas",Seg: 12:00-15:00 19:00-23:00; Ter: 12:00-15:00 19:00-23:00; Qua: 12:00-15:00 19:00-23:00; Qui: 12:00-15:00 19:00-23:00; Sex: 12:00-16:00 19:00-00:00; Sáb: 12:00-16:00 19:00-00:00; Dom: 12:00-20:00,270.00,270.0,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Pizza Pezzi - Savassi,"R. Pernambuco, 1095",Minas Gerais,Belo Horizonte,Brasil,30130-151,822,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#216 de 18306 restaurantes em Belo Horizonte,pizzapezzi.com.br,@pizzapezzibh,+55 31 3889-0615,"Pizza, Opções vegetarianas",Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-23:00,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Paladar Mineiro Restaurante,"R. José Benevides da Silveira, n° 84",Minas Gerais,Belo Horizonte,Brasil,31570-200,575,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#217 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 98751-6243,Não especificado,Seg: 11:30-17:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-00:00,Sem Informação,Sem Informação,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
Pizza Pezzi - Coração Eucarístico,"Estação Gameleira Rua Coração Eucarístico de Jesus, 236",Minas Gerais,Belo Horizonte,Brasil,30535-460,522,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#218 de 18306 restaurantes em Belo Horizonte,pizzapezzi.com.br,@pizzapezzibh,+55 31 3309-9292,"Pizza, Opções vegetarianas",Seg: 11:30-22:45; Ter: 11:30-22:45; Qua: 11:30-22:45; Qui: 11:30-22:45; Sex: 11:30-22:45; Sáb: 11:30-22:45; Dom: 11:30-22:45,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante FiChips Pampulha,"Rua Zilah Correia de Araújo, 13 - Loja 5",Minas Gerais,Belo Horizonte,Brasil,31310-530,404,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#219 de 18306 restaurantes em Belo Horizonte,dguests.com,@fichips_pampulha,+55 31 99570-1796,Britânica,Seg: 11:30-22:00; Ter: 11:30-22:00; Qua: 11:30-22:00; Qui: 11:30-22:00; Sex: 11:30-00:00; Sáb: 12:00-00:00; Dom: 11:30-22:00,140.00 À 270.00,205.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Cantinho do Peixe,"R. Antônio Teixeira Dias, 1770",Minas Gerais,Belo Horizonte,Brasil,30642-270,394,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#220 de 18306 restaurantes em Belo Horizonte,Sem Informação,@cantinhodopeixeltda,+55 31 99105-6562,Brasileira,Seg: Fechado; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Recanto do Surubim Padre Eustáquio,"Estação Calafate Rua Aquidaban, 659",Minas Gerais,Belo Horizonte,Brasil,30720-420,351,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#221 de 18306 restaurantes em Belo Horizonte,Sem Informação,@recantodosurubim_,+55 31 3646-9281,Não especificado,Seg: 11:00-15:00; Ter: 11:00-15:00 18:00-23:00; Qua: 11:00-15:00 18:00-23:00; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-18:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
AREQUIPA CULINARIA PERUANA,"R. Lagoa Santa, 106",Minas Gerais,Belo Horizonte,Brasil,30710-090,84,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#223 de 18306 restaurantes em Belo Horizonte,wa.me,@whatsapp,+55 31 99215-6957,Não especificado,Seg: 11:30-22:00; Ter: 11:30-22:00; Qua: 11:30-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:30; Dom: 11:00-18:00,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Cabaña Restaurante Bh,"Estação Carlos Prates Av. Olegário Maciel, 1600",Minas Gerais,Belo Horizonte,Brasil,30180-111,773,3.7,4.4,Sem Avaliação,Sem Avaliação,3.0,#224 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 2522-1313,"Argentina, Churrascarias, Churrasco, Grelhada",Seg: 11:00-22:00; Ter: 11:00-22:00; Qua: 11:00-22:00; Qui: 11:00-22:00; Sex: 11:00-22:00; Sáb: 11:00-22:00; Dom: 11:00-22:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Dona Flô,"Av. Olegário Maciel, 742 - Loja 2157 - Corredor H - 2º Andar",Minas Gerais,Belo Horizonte,Brasil,30180-114,83,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#225 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Mexicana,Seg: Fechado; Ter: Fechado; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:30; Sáb: 12:00-23:30; Dom: 12:00-18:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Ed Mais Bar e Restaurante,"R. Eng. Ocelo Cirino, 343",Minas Gerais,Belo Horizonte,Brasil,30494-075,800,4.7,4.6,4.5,5.0,Sem Avaliação,#226 de 18306 restaurantes em Belo Horizonte,Sem Informação,@edmais_bar_restaurante,+55 31 3378-1420,Brasileira,Seg: 11:00-23:00; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-16:00; Dom: 11:00-16:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Girassol,"Estação Santa Efigênia R. Monte Alegre, 91",Minas Gerais,Belo Horizonte,Brasil,30240-230,203,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#227 de 18306 restaurantes em Belo Horizonte,api.whatsapp.com,@whatsapp,+55 31 3657-4984,Não especificado,Seg: 10:30-14:30; Ter: 10:30-14:30; Qua: 10:30-14:30; Qui: 10:30-14:30; Sex: 10:30-14:30; Sáb: Fechado; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Play Pizza,"R. Júlio de Castilho, 194",Minas Gerais,Belo Horizonte,Brasil,30570-080,122,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#230 de 18306 restaurantes em Belo Horizonte,pedir.delivery,Sem Informação,+55 31 99657-0688,"Pizza, Opções vegetarianas",Seg: 18:00-23:30; Ter: 18:00-23:30; Qua: 18:00-23:30; Qui: 18:00-23:30; Sex: 18:00-23:30; Sáb: 18:00-23:30; Dom: 18:00-23:30,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
Cantina do Lucas,"Estação Central (Metrô de Belo Horizonte) Av. Augusto de Lima, 233 - loja 18 Centro",Minas Gerais,Belo Horizonte,Brasil,30190-001,4711,4.2,4.5,3.9,Sem Avaliação,4.0,#231 de 18306 restaurantes em Belo Horizonte,cantinadolucas.com.br,@cantinadolucas,+55 31 3226-7153,Italiana,Seg: 11:30-00:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-02:00; Sáb: 11:30-02:00; Dom: 11:30-00:00,54.00 À 140.00,97.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
