Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Vila Chalezinho,"Alameda Oscar Niemeyer, 132 - loja 5",Minas Gerais,Nova Lima,Brasil,34006-049,490,3.8,4.3,Sem Avaliação,3.9,4.0,#1 de 41 restaurantes italianos em Nova Lima,vilachalezinho.com.br,@vilachalezinho,+55 31 3097-2019,"Europeia, Internacional, Contemporânea, Suíça, Opções vegetarianas",Seg: 18:30-00:00; Ter: 18:30-00:00; Qua: 18:30-00:00; Qui: 18:30-01:00; Sex: 18:30-01:00; Sáb: 18:30-01:00; Dom: Fechado,270.00,270,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Foraster Burguer,"Estação José Cândido da Silveira Rua Dr. Júlio Otaviano Ferreira, 883",Minas Gerais,Belo Horizonte,Brasil,31170-200,767,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#188 de 18306 restaurantes em Belo Horizonte,Sem Informação,@forasteiroburguer22,+55 31 3146-6776,Fast Food,Seg: Fechado; Ter: 17:33-22:33; Qua: 17:33-22:33; Qui: 17:33-22:33; Sex: 17:33-22:33; Sáb: 17:33-22:33; Dom: 17:33-21:59,54.00 À 140.00,97.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Pinguim,"R. Grão Mogol, 157",Minas Gerais,Belo Horizonte,Brasil,30310-010,7393,4.1,4.3,4.0,4.4,4.0,#189 de 18306 restaurantes em Belo Horizonte,pinguimochopp.com.br,@pinguimbelohorizonte,+55 31 3282-2007,Pizza,Seg: 11:30-00:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-01:00; Sáb: 11:30-01:00; Dom: 11:30-18:00,69.00 À 98.00,83.5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Ouro Beer,"R. Manoel Elias de Aguiar, 140",Minas Gerais,Belo Horizonte,Brasil,31330-520,2194,3.9,4.3,3.4,5.0,4.0,#190 de 18306 restaurantes em Belo Horizonte,facebook.com,@ourobeer,+55 31 3498-4329,"Brasileira, Sul Americana",Seg: 17:00-23:00; Ter: 17:00-23:00; Qua: 11:00-00:00; Qui: 17:00-00:30; Sex: 17:00-00:30; Sáb: 11:00-00:30; Dom: 11:00-23:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Chocolate Lab,"Estação Santa Efigênia R. Mal. Deodoro, 12",Minas Gerais,Belo Horizonte,Brasil,30150-110,301,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#191 de 18306 restaurantes em Belo Horizonte,Sem Informação,@euamochocolatelab,+55 31 98794-6283,"Sobremesa, Opções vegetarianas",Seg: Fechado; Ter: 11:30-19:00; Qua: 11:30-19:00; Qui: 11:30-19:00; Sex: 11:30-20:00; Sáb: 09:00-20:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Nanem Sushi Eventos,"Av. Guarapari, 1413 - Loja D",Minas Gerais,Belo Horizonte,Brasil,31560-300,189,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#192 de 18306 restaurantes em Belo Horizonte,Sem Informação,@nanem.sushi,+55 31 98292-3030,Japonesa,Seg: 10:30-14:30 18:00-23:00; Ter: 10:30-14:30 18:00-23:00; Qua: 10:30-14:30 18:00-23:00; Qui: 10:30-14:30 18:00-23:30; Sex: 10:30-14:30 18:00-23:30; Sáb: 11:00-15:00 18:00-23:30; Dom: Fechado,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Anthony's Pizzaria,"R. São Joaquim, 646",Minas Gerais,Belo Horizonte,Brasil,31035-470,116,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#193 de 18306 restaurantes em Belo Horizonte,Sem Informação,@anthonyspizzariasjdr,+55 31 99069-4999,"Pizza, Opções vegetarianas",Seg: Fechado; Ter: Fechado; Qua: 18:30-23:00; Qui: 18:30-23:00; Sex: 18:30-23:00; Sáb: 18:30-23:00; Dom: 18:30-23:00,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
O Barco,"Avenida Carlos Luz (Shopping Del Rey), 3001 - Lj A17 Caiçara",Minas Gerais,Belo Horizonte,Brasil,31250-010,184,3.6,3.0,3.6,3.3,3.5,#199 de 18306 restaurantes em Belo Horizonte,redesabor.com.br,Sem Informação,+55 31 3415-7408,Frutos do mar,Seg: 10:00-23:00; Ter: 10:00-23:00; Qua: 10:00-23:00; Qui: 10:00-23:00; Sex: 10:00-23:00; Sáb: 10:00-23:00; Dom: 10:00-22:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
Restaurante Comida Japonesa Sushi Isan - Dona Clara,"Estação Primeiro de Maio Av. Sebastião de Brito, 216",Minas Gerais,Belo Horizonte,Brasil,31260-000,81,4.7,4.9,4.5,Sem Avaliação,Sem Avaliação,#200 de 18306 restaurantes em Belo Horizonte,bit.ly,@sushiisanbh,+55 31 98270-4251,Japonesa,Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:00; Sáb: 18:00-23:00; Dom: 18:00-22:30,54.00,54.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
La Traviata,"Av. Cristóvão Colombo, 282",Minas Gerais,Belo Horizonte,Brasil,30140-140,2611,3.7,4.3,3.8,3.9,3.5,#202 de 18306 restaurantes em Belo Horizonte,restaurantelatraviata.com.br,@latraviatabh,+55 31 3261-6044,"Italiana, Pizza",Seg: 11:30-15:00; Ter: 11:30-15:00 18:00-23:30; Qua: 11:30-15:00 18:00-23:30; Qui: 11:30-15:00 18:00-23:30; Sex: 11:30-15:00 18:00-23:30; Sáb: 11:30-16:00 18:00-23:30; Dom: 11:30-16:00 18:00-23:00,55.00 À 140.00,97.5,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
PIZZA PREMIUM,"Estação Calafate Av. Dom Pedro II, 2909",Minas Gerais,Belo Horizonte,Brasil,30720-460,233,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#247 de 18306 restaurantes em Belo Horizonte,Sem Informação,@pizzapremium_delivery,+55 31 99118-5871,Pizza,Seg: 18:00-00:00; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-00:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Paná Cervejaria Mineira,"R. Tomé de Souza, 133",Minas Gerais,Belo Horizonte,Brasil,30140-130,270,4.6,4.6,Sem Avaliação,Sem Avaliação,Sem Avaliação,#248 de 18306 restaurantes em Belo Horizonte,panacervejaria.com.br,Sem Informação,+55 31 3658-3642,"Bar de Cerveja, Opções vegetarianas",Seg: Fechado; Ter: Fechado; Qua: 17:00-00:30; Qui: 17:00-00:30; Sex: 17:00-00:30; Sáb: 12:00-00:30; Dom: 12:00-18:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Villeon Restaurante,"R. Elias Antônio Jorge, 21",Minas Gerais,Belo Horizonte,Brasil,30380-600,231,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#249 de 18306 restaurantes em Belo Horizonte,Sem Informação,@villeonbh,+55 31 97207-7593,Não especificado,Seg: Fechado; Ter: Fechado; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 12:00-00:00; Sáb: 12:00-00:00; Dom: 12:00-18:00,140.00 À 270.00,205.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Unsioutros Gastro Bar,"Estação Carlos Prates Av. Francisco Sá, 126",Minas Gerais,Belo Horizonte,Brasil,30110-017,3005,4.5,4.4,Sem Avaliação,4.5,Sem Avaliação,#250 de 18306 restaurantes em Belo Horizonte,linktr.ee,@unsioutrosbar,+55 31 99447-2756,Não especificado,Seg: Fechado; Ter: 17:00-00:00; Qua: 17:00-00:00; Qui: 17:00-00:00; Sex: 17:00-00:00; Sáb: 17:00-00:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
Boizao 2 Churrascaria e Pizzaria Santa Terezinha,"Av. Santa Terezinha, 1000",Minas Gerais,Belo Horizonte,Brasil,31360-000,2170,4.6,4.6,Sem Avaliação,Sem Avaliação,Sem Avaliação,#251 de 18306 restaurantes em Belo Horizonte,Sem Informação,@boizaoterezinha,+55 31 3654-4610,Não especificado,Seg: 11:00-23:30; Ter: 11:00-23:30; Qua: 11:00-23:30; Qui: 11:00-23:30; Sex: 11:00-23:30; Sáb: 11:00-23:30; Dom: 11:00-23:30,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Pizzaria E Restaurante Do Índio,"Estação Floramar R Olívia Maria De Jesus, 1757",Belo Horizonte,Planalto,Minas Gerais,Brasil,8629,3.4,4.3,2.5,3.8,4.0,#252 de 18306 restaurantes em Belo Horizonte,facebook.com,@pizzariadoindiooficial,+55 31 3434-5990,Pizza,Seg: 11:30-23:30; Ter: 11:30-23:30; Qua: 11:30-23:30; Qui: 11:30-23:30; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-23:30,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Juveninha Restaurante,"Rua João Ricaldone Filho 51, Belo Horizonte",Brasil,Minas Gerais,31330-340,Sem Informação,1385,4.5,4.5,Sem Avaliação,4.6,4.5,#253 de 18306 restaurantes em Belo Horizonte,facebook.com,@juveninharestaurante,+55 31 3477-6070,"Brasileira, Pizza, Opções vegetarianas",Seg: Fechado; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-18:00,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Pizza Pezzi - Castelo,"Av. Pres. Tancredo Neves, 2094",Minas Gerais,Belo Horizonte,Brasil,31330-472,223,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#254 de 18306 restaurantes em Belo Horizonte,pizzapezzi.com.br,@pizzapezzibh,+55 31 3665-9919,Pizza,Seg: 17:00-22:45; Ter: 17:00-22:45; Qua: 17:00-22:45; Qui: 17:00-22:45; Sex: 17:00-22:45; Sáb: 17:00-22:45; Dom: 17:00-22:45,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Minas Burguer BH,"R. Itapetinga, 1179",Minas Gerais,Belo Horizonte,Brasil,31130-192,246,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#255 de 18306 restaurantes em Belo Horizonte,Sem Informação,@minasburguerbhz,+55 31 97148-8716,Fast Food,Seg: Fechado; Ter: 18:00-00:00; Qua: 18:00-00:00; Qui: 18:00-00:00; Sex: 18:00-00:00; Sáb: 18:00-00:00; Dom: 18:00-23:30,54.00,54.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Outback Steakhouse,"Estação Vilarinho Av. Cristiano Machado, 11833 Loja SEBO2064/SEBO2063/SEBO2061 - Pavimento 2",Minas Gerais,Belo Horizonte,Brasil,31744-007,843,4.6,4.6,Sem Avaliação,Sem Avaliação,Sem Avaliação,#256 de 18306 restaurantes em Belo Horizonte,outback.com.br,@outbackbrasil,Sem Informação,Australiana,Seg: 12:00-22:30; Ter: 12:00-22:30; Qua: 12:00-22:30; Qui: 12:00-22:30; Sex: 11:30-23:00; Sáb: 11:30-23:00; Dom: 11:30-22:00,140.00 À 270.00,205.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
Paladiu Restaurante,"Estação Vilarinho R. Cap. Nelson Albuquerque, 41",Minas Gerais,Belo Horizonte,Brasil,31510-070,437,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#258 de 18306 restaurantes em Belo Horizonte,restaurantepalladium.com,@restaurantepaladiu,+55 31 3564-9916,"Brasileira, Opções vegetarianas",Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Cantina da Cláudia,"Rua Professor José Carvalho Lopes, 19",Minas Gerais,Belo Horizonte,Brasil,31730-670,53,5.0,5.0,Sem Avaliação,Sem Avaliação,Sem Avaliação,#260 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 99254-1632,Não especificado,Seg: 10:00-15:00; Ter: 10:00-15:00; Qua: 10:00-15:00; Qui: 10:00-15:00; Sex: 10:00-15:00; Sáb: 10:00-15:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Décio's Bar e Restaurante,"Rua Leopoldino de Oliveira, 263 Bairro Aparecida",Minas Gerais,Belo Horizonte,Brasil,31235-172,995,4.4,4.5,3.4,4.6,5.0,#261 de 18306 restaurantes em Belo Horizonte,Sem Informação,@deciosbar,+55 31 3428-1576,Brasileira,Seg: 08:00-22:00; Ter: 08:00-22:00; Qua: 08:00-22:00; Qui: 08:00-22:00; Sex: 08:00-22:00; Sáb: 08:00-22:00; Dom: 08:00-22:00,55.00 À 140.00,97.5,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Cantinas Alegria,"Estação Central (Metrô de Belo Horizonte) R. da Bahia, 995",Minas Gerais,Belo Horizonte,Brasil,30160-011,85,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#263 de 18306 restaurantes em Belo Horizonte,cantinasalegria.com,Sem Informação,+55 31 98783-4760,Não especificado,Seg: 06:30-19:00; Ter: 06:30-19:00; Qua: 06:30-19:00; Qui: 06:30-19:00; Sex: 06:30-19:00; Sáb: 07:00-13:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Frango Frito BH - Alípio de Melo,"Praça Paulo VI, 8",Minas Gerais,Belo Horizonte,Brasil,30830-730,489,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#264 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3284-5528,Não especificado,Seg: 17:30-23:30; Ter: 17:30-23:30; Qua: 17:30-23:30; Qui: 17:30-23:30; Sex: 17:30-23:30; Sáb: 17:30-23:30; Dom: Fechado,54.00,54.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Couve e Flor restaurante LTDA,"Estação Carlos Prates R. Alvarenga Peixoto, 1000",Belo Horizonte,Lourdes,Minas Gerais,Brasil,1477,4.6,4.7,4.5,4.4,4.5,#265 de 18306 restaurantes em Belo Horizonte,restaurantecouveflor.com.br,@restaurantecouveflor,+55 31 3337-2681,"Brasileira, Opções vegetarianas",Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-14:30; Qui: 11:00-14:30; Sex: 11:00-14:30; Sáb: Fechado; Dom: 12:00-15:30,54.00 À 140.00,97.0,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
PASTA LAB,"R. Fernandes Tourinho, 235",Minas Gerais,Belo Horizonte,Brasil,30112-000,179,3.5,4.0,Sem Avaliação,Sem Avaliação,3.0,#266 de 18306 restaurantes em Belo Horizonte,Sem Informação,@pastalab_bh,+55 31 97234-6461,"Italiana, Opções vegetarianas",Seg: Fechado; Ter: Fechado; Qua: 12:00-14:30 19:00-22:30; Qui: 12:00-14:30 19:00-22:30; Sex: 12:00-14:30 19:00-22:30; Sáb: 12:00-16:00 19:00-22:30; Dom: 12:00-16:00,280.00,280.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Amantes do Açaí,"Estação Gameleira R. Monte Simplon, 1279",Minas Gerais,Belo Horizonte,Brasil,30550-162,83,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#267 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 99153-7831,Não especificado,Seg: Fechado; Ter: Fechado; Qua: 15:00-22:30; Qui: 15:00-22:30; Sex: 15:00-22:30; Sáb: 15:00-22:30; Dom: 15:00-22:30,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Churrasco do Bento,"Estação Vilarinho R. Prof. Aimoré Dutra, 248",Minas Gerais,Belo Horizonte,Brasil,31515-180,339,4.6,4.6,Sem Avaliação,Sem Avaliação,Sem Avaliação,#268 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3495-1389,Churrascarias,Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00; Sex: 11:00-15:00; Sáb: 11:00-15:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Mandioca,"R. das Caldeiras, 10A",Minas Gerais,Belo Horizonte,Brasil,31975-250,748,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#40 de 3071 cafeterias em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3447-5190,Não especificado,Seg: 09:00-00:00; Ter: 09:00-00:00; Qua: 09:00-00:00; Qui: 09:00-00:00; Sex: 09:00-00:00; Sáb: 09:00-00:00; Dom: 09:00-00:00,55.00,55.0,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Dudu's Hamburgueria,"R. Frei Andreoni, 415",Minas Gerais,Belo Horizonte,Brasil,30550-550,464,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#274 de 18306 restaurantes em Belo Horizonte,Sem Informação,@dudus_hamburgueria,+55 31 3047-1813,Fast Food,Seg: Fechado; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,Sem Informação,Sem Informação,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Camaradería,"Estação Santa Efigênia Rua Claudio Manoel 555, Belo Horizonte",Brasil,Minas Gerais,30140-105,Sem Informação,344,4.5,Sem Avaliação,4.3,4.6,4.5,#277 de 18306 restaurantes em Belo Horizonte,camaraderia.com.br,@camaraderia,+55 31 3646-4616,"Sul Americana, Opções vegetarianas",Seg: 11:30-15:00; Ter: 11:30-15:00; Qua: 11:30-23:00; Qui: 11:30-23:00; Sex: 11:30-23:00; Sáb: 11:30-23:00; Dom: 11:30-16:30,55.00 À 140.00,97.5,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
Restaurante da Ana,"Estação Cidade Industrial R. Dr. Ribeiro Pena, 112",Minas Gerais,Belo Horizonte,Brasil,30610-080,122,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#278 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3362-5664,Não especificado,Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-14:30; Qui: 11:00-14:30; Sex: 11:00-14:30; Sáb: 11:00-15:00; Dom: Fechado,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Bom Sabor,"Rua Conceição da Aparecida, 733",Minas Gerais,Belo Horizonte,Brasil,31365-150,381,4.2,4.5,Sem Avaliação,4.0,Sem Avaliação,#279 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3476-1685,"Brasileira, Opções vegetarianas",Seg: 11:00-14:30; Ter: 11:00-14:30; Qua: 11:00-14:30; Qui: 11:00-14:30; Sex: 11:00-14:30; Sáb: 11:00-14:30; Dom: 11:00-14:30,55.00 À 140.00,97.5,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
ZAIKA TANDOOR BURITIS,"Av. Professor Mário Werneck, 2170",Minas Gerais,Belo Horizonte,Brasil,30575-180,75,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#280 de 18306 restaurantes em Belo Horizonte,restaurantezaikaburitis.menudino.com,Sem Informação,+55 31 3213-8901,Indiana,Seg: Fechado; Ter: 12:00-15:00 18:00-22:00; Qua: 12:00-15:00 18:00-22:00; Qui: 12:00-15:00 18:00-22:00; Sex: 12:00-15:00 18:00-22:00; Sáb: 12:00-22:00; Dom: 12:00-22:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
La Parmegiana,"Estação Horto Florestal R. São Lázaro, 696",Minas Gerais,Belo Horizonte,Brasil,31035-580,119,4.8,4.8,Sem Avaliação,Sem Avaliação,Sem Avaliação,#281 de 18306 restaurantes em Belo Horizonte,Sem Informação,@laparmegianabh,+55 31 98359-3188,Não especificado,Seg: Fechado; Ter: 18:00-22:00; Qua: 18:00-22:00; Qui: 18:00-22:00; Sex: 18:00-22:00; Sáb: 11:00-22:00; Dom: 11:00-21:00,Sem Informação,Sem Informação,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
"Assados do Gil - Restaurante, Pizzaria & Hamburgueria","R. Rosalvo de Melo Franco, 231",Minas Gerais,Belo Horizonte,Brasil,31960-020,211,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#282 de 18306 restaurantes em Belo Horizonte,facebook.com,@assadosdogil,+55 31 99608-7623,"Pizza, Fast Food, Grelhada, Opções vegetarianas",Seg: Fechado; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,Sem Informação,Sem Informação,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Ah! Bon Café,"Estação Carlos Prates A - Diamond Mall, Av. Olegário Maciel",Belo Horizonte,1600 - OM29,Minas Gerais,Brasil,230,3.5,3.5,3.6,Sem Avaliação,3.5,#33 de 3213 cafés em Belo Horizonte,ahbon.com.br,@ahbonbistrot,+55 31 3292-9069,Não especificado,Seg: 11:30-22:00; Ter: 10:00-22:00; Qua: 10:00-22:00; Qui: 10:00-22:00; Sex: 10:00-22:00; Sáb: 11:30-22:00; Dom: 11:30-22:00,140.00 À 270.00,205.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Bar Aqui Tudo e Bom - Prado,"R. Chopin, 22",Minas Gerais,Belo Horizonte,Brasil,30411-115,188,4.7,4.7,Sem Avaliação,Sem Avaliação,Sem Avaliação,#284 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3658-4403,Não especificado,Seg: 11:00-00:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-00:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
Barolio,"Alameda Oscar Niemayer, 1033 Loja 04-B",Minas Gerais,Belo Horizonte,Brasil,34006-065,482,4.0,4.3,4.0,4.2,4.0,#285 de 18306 restaurantes em Belo Horizonte,barolio.com.br,@baroliobh,+55 31 3786-1359,"Italiana, Pizza, Frutos do mar",Seg: Fechado; Ter: 18:00-03:00; Qua: 18:00-03:00; Qui: 18:00-03:00; Sex: 12:00-03:00; Sáb: 12:00-03:00; Dom: 12:00-03:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Udon,"Estação Central (Metrô de Belo Horizonte) Av. do Contorno, 7315 - Terreo",Minas Gerais,Belo Horizonte,Brasil,30110-047,1649,4.0,4.5,Sem Avaliação,Sem Avaliação,3.5,#100 de 18306 restaurantes em Belo Horizonte,udonrestaurante.com.br,@udonbh,+55 31 2528-2249,Japonesa,Seg: 12:00-15:00 18:00-00:00; Ter: 12:00-15:00 18:00-00:00; Qua: 12:00-15:00 18:00-00:00; Qui: 12:00-15:00 18:00-01:00; Sex: 12:00-01:00; Sáb: 12:00-01:00; Dom: 12:00-23:00,140.00 À 270.00,205.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Guignard,"R. Tomé de Souza, 1075",Minas Gerais,Belo Horizonte,Brasil,30140-131,303,4.5,4.5,Sem Avaliação,Sem Avaliação,4.5,#13 de 3071 cafeterias em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3227-5108,"Brasileira, Sul Americana, Opções vegetarianas",Seg: 11:30-14:30; Ter: 11:30-14:30; Qua: 11:30-14:30; Qui: 11:30-14:30; Sex: 11:30-14:30; Sáb: Fechado; Dom: 12:00-15:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
O Sarracino,"Av. Afonso Pena, 3745",Minas Gerais,Belo Horizonte,Brasil,30130-009,121,3.9,4.3,3.5,Sem Avaliação,4.0,#103 de 18306 restaurantes em Belo Horizonte,facebook.com,@sarracinoristorante,+55 31 3284-1390,"Italiana, Pizza, Mediterrânea",Seg: 06:00-10:00 12:00-15:00 19:00-22:30; Ter: 06:00-10:00 12:00-15:00 19:00-22:30; Qua: 06:00-10:00 12:00-15:00 19:00-22:30; Qui: 06:00-10:00 12:00-15:00 19:00-22:30; Sex: 06:00-10:00 12:00-15:00 19:00-22:30; Sáb: 06:00-10:00 12:00-15:00 19:00-22:30; Dom: 06:30-10:30 12:00-15:00 19:00-22:30,54.00 À 140.00,97.0,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Camburi,"R. Minas Novas, 13",Minas Gerais,Belo Horizonte,Brasil,30310-090,642,4.5,4.5,Sem Avaliação,5.0,4.0,#106 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3568-4001,"Brasileira, Frutos do mar",Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: Fechado; Sex: 12:00-15:00 18:00-00:00; Sáb: 11:00-23:00; Dom: 11:00-17:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
